timestamp,username,action,status,ipAddress,details2026-05-01T15:20:36.0426115,john.smith,LOGIN_ATTEMPT,SUCCESS,0:0:0:0:0:0:0:1,"Valid credentials"
2026-05-01T15:20:36.1016085,john.smith,MFA_SETUP,SUCCESS,0:0:0:0:0:0:0:1,"QR code generated for MFA setup"
2026-05-01T15:22:11.7107932,john.smith,MFA_SETUP,SUCCESS,0:0:0:0:0:0:0:1,"MFA setup completed successfully"
2026-05-01T15:22:11.712793,john.smith,MFA_VERIFY_SUCCESS,SUCCESS,0:0:0:0:0:0:0:1,"Initial TOTP verification successful"
2026-05-01T15:22:11.7147947,john.smith,LOGIN_SUCCESS,SUCCESS,0:0:0:0:0:0:0:1,"User logged in with MFA"
2026-05-01T15:23:27.1891726,john.smith,LOGOUT,SUCCESS,0:0:0:0:0:0:0:1,"User logged out successfully"
2026-05-01T15:23:41.7879532,admin.user,LOGIN_ATTEMPT,SUCCESS,0:0:0:0:0:0:0:1,"Valid credentials"
2026-05-01T15:24:07.9797629,admin.user,MFA_VERIFY_FAILED,FAILED,0:0:0:0:0:0:0:1,"Invalid TOTP code (attempt 1 of 5)"
2026-05-01T15:24:31.7911179,admin.user,LOGOUT,SUCCESS,0:0:0:0:0:0:0:1,"User logged out successfully"
2026-05-01T15:24:49.5664254,jane.doe,LOGIN_ATTEMPT,SUCCESS,0:0:0:0:0:0:0:1,"Valid credentials"
2026-05-01T15:25:14.5789576,jane.doe,LOGOUT,SUCCESS,0:0:0:0:0:0:0:1,"User logged out successfully"
2026-05-01T15:25:37.3189,john.smith,LOGIN_ATTEMPT,SUCCESS,0:0:0:0:0:0:0:1,"Valid credentials"
2026-05-01T15:25:49.0790781,john.smith,MFA_VERIFY_SUCCESS,SUCCESS,0:0:0:0:0:0:0:1,"TOTP verification successful"
2026-05-01T15:25:49.0810778,john.smith,LOGIN_SUCCESS,SUCCESS,0:0:0:0:0:0:0:1,"User logged in with MFA"
2026-05-01T15:26:00.3929182,john.smith,LOGOUT,SUCCESS,0:0:0:0:0:0:0:1,"User logged out successfully"
2026-05-01T15:27:44.9396958,john.smith,LOGIN_ATTEMPT,SUCCESS,0:0:0:0:0:0:0:1,"Valid credentials"
2026-05-01T15:28:06.7112218,john.smith,MFA_VERIFY_SUCCESS,SUCCESS,0:0:0:0:0:0:0:1,"TOTP verification successful"
2026-05-01T15:28:06.7162245,john.smith,LOGIN_SUCCESS,SUCCESS,0:0:0:0:0:0:0:1,"User logged in with MFA"
2026-05-01T15:28:29.3636282,john.smith,LOGOUT,SUCCESS,0:0:0:0:0:0:0:1,"User logged out successfully"
